,video_id,comments
0,Lkw2b1tn6oY,"['😅', 'Shes the best', 'Hi dua lipa', 'I feel the same way about ur pfp', 'Fans', 'it‘s incredible', '❤❤❤', 'will dua do that at the Grammy after the release  of the 3rd album', 'Boring song', 'Me to my lazy ass group mates when a semester is over 😂']"
1,KJ8lbgzi2Uw,"['The man: are you earn from singing or stealing?', 'SLAYY❤❤❤', '😂😂', 'Yeah best song of the whole year,!', 'Cool sound 🎉❤🎉', '😊❤', '“NOO, DUA COME BACK!”', 'Super cool.', 'She’s really funny.', 'It’s funny because it’s true for most guys.']"
2,5IuxuOgJlpk,"['Vinyl please 🙏🏼🙏🏼😭', 'Fu** m* 10$', ""So that's why I am LEVITATING 😅"", 'I LOVE THE COVERRRRR', 'Godis greathow do you think with me', 'I cant be the only peons one who knows Dua is a Queen,👇🏼\nLike if you agree', '👍👍👍👍,,,mark', ""oh god, she's so pretty:)))"", 'When concert in Europe or Albania?) ❤️🙏🏻🙏🏻🙏🏻', 'shopping can i come']"
3,DM6r5i_NysU,"['Meu bem vc tá gatinha demais arrebenta Corações 💕 maravilhosa ❤❤❤❤❤❤❤', 'Maravilhosa adorei sua disposição é importante que vc Faz canta muito música linda vc sempre Linda ❤❤❤❤❤❤❤❤❤❤❤', 'I LOVE IT SM', 'The Goddess has returned 🔥🔥🔥', 'Queen İs Backk ! Red hair Dua My favorite ❤️', 'Great 🎉', '❤❤❤❤❤', 'Eres tan bella❤❤❤', '❤️', 'A woman who fascinates with both her beauty and her song.🔥😍😘']"
4,ds0WzSKYP8g,"['....parece a Luluca em versão 2.0  kkkk', 'Dua never dissappoints. Cant wait for this gem album', 'I love you Dua 💕💕💕', 'I love this woman I love the song everything ❤❤', 'Lucu banget larinya dualipaa😂😂', 'Siri cascudo da fenda do biquíni', '❤❤❤', '""Flatmate is also their ex"" - Lord, I\'d say are they on their crack 😮', 'I adore you honey  ❤❤❤', 'get one the same skin color']"
5,CxpClOs0KEE,"['Sigue triunfando bella Dua!!🙌🥰😚', 'Lindo cabelo', ""What's the song actually about? A woman who is uncommital and a whore?"", 'sorry mu-   i-', 'Dua Lipa is mommy tho', 'آهنگ جدید😍❤', '❤❤❤', 'Mother', 'Awesome song 🎉❤', 'Those phat beatsies 👌🏼']"
6,suAR1PYFNYA,"['Ameiiii DUA❤', '❤', 'just made a mashup of this song and Thriller by Michael Jackson, check it out💫', 'It gives me Madonna\'s ""Hung up"" vibes. But the song is really good.', '😍😍😍😍', 'very boring song 😕', ""I love the song the only one thing i didn't like from this video is her tank top it's really ugly"", 'Virgin Radio 95.9', 'Dua Lipa the Pop Queen ❤️🥰👐🏻🇦🇱🇽🇰', 'Linda 🎉🎉❤❤❤']"
7,G0PvCfdpEM0,"['Wht abt mumbai ... When ll we get it', 'Да! Не ленись😂😂😂❤❤', '🎧🥇🌍', '🤩🎵♥️', 'Рачком её самое то!😂😂❤', '🔥🔥🔥🔥🔥🔥🔥🔥🔥🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉💯💯💯💯💯💯💯💯❤️❤️❤️❤️❤️❤️❤️❤️', 'Te amamos mucho en Mexico, hermosa Dua Lipa, regresa pronto ! 😍😍', 'Ciao', 'PERFECTO. ESTAREMOS JUNTOS PARA ESE EXTRAORDINARIO HOUDINI. 🤗💪🙋', ""Houdini it's not just any name""]"
8,XUHekkmvCac,"['Flop', 'Quando eu li dua lipa no canal da bruna marquezine achei que era palhaço. Aí de 2021 pra ca agora eu sei que a dua lipa é cantora. Se ela fosse palhaço era melhor, ela teria o dobro, o triplo dessa fama aí', '1989 a 1998 Leandro e Leonardo. 2014 a 2023 mulher gorda', '❤❤❤', 'Love dua lipa hair red is lovley too', 'Que guapa es dua lipa ❤', 'ERES LO MÁS BONITO QUE PARIÓ LONDRES', 'Wife', 'Pretty and wonderful ❤❤❤❤❤', '😍🥰❤️😘']"
9,38fUzStc7RU,"['chistosa', 'I do think about it night and day DUANGEL 🧡🧡🧡🧡💜', '🔥🔥🔥🔥🔥🔥🔥🔥🔥🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉💯💯💯💯💯💯💯💯❤️❤️❤️❤️❤️❤️❤️❤️', 'I love you ❤💕❣️💞💓💗💝😯', 'Amo essa voz dela dos anos 80 💃🏼🕺🏼📀💽', 'I love it!!!!❤', '👍😊❤️', 'HIIIII', '😊❤😊', '🎼⭐️🤍🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🎧🌍🔎🎶']"
10,mBnphFU_oR4,"['And I can’t catch you so I guess you go', 'You have my heart forever ❤️', 'LA MÁS HERMOSA DE LONDRES', ""# *WHO-DIDN'T* ¿‽\n🤔💭🌪️🧐😳🤯🤣🤣🤣🤣🌈❣️😍"", ""Just like all of her videos, Houdini was spectacular. She just has the midas touch in terms of her. Creativity. Dua, keep feeding our mind, bodies,, and souls. Please take care of yourself though. You're an important vessel.❤ CONGRATS."", '🤪🤪🤪🤪😘😘😘😘😘😘', 'Aaaaaa', 'Preciosa como siempre! 😍', 'Ew🤢\U0001fae2🤭🤫🤑', '❤❤❤']"
11,POppJYs79D0,"['Very very much so ❤❤ welcome back queen Dua 😊😊', 'Wow is that ever trippy any significance', 'WE MISS YOU A LOTTT! LOVE YOU', 'Que bonitos ojos tiene usted mi Reina', 'You you yes 😂', 'Always❤', 'Kaleidoscope', 'Of course you do! 🤗😊', 'Yes', 'OMG, YES......❤']"
12,mkmrv7-vJx8,"['I am mesmerized with that blue skirt ❤ m.e.o.w. !!!', 'My wife', '💕 lovely', 'I love dua lipa', '❤❤❤😜😜😜😜🤪🤪🤪😝🥰🥰🥰🥰', 'Супео, дорогая мы тебя ❤❤❤', '❤u dua 😘🥰😍', ""WoooooW ❤ 😊what dua lipa that's fantastic 👏 wooooooooow ❤❤❤❤"", '🇦🇱🇦🇱🇦🇱', 'Madness , this song is above n beyond awesome , one of Dua best songs , cut sick af 😂🔥😈🙏🤤😭']"
13,Q6HG1kGIdao,"['Te amooooo duaaaaaaaa', 'Dua please check my community post tagging you ILYSM ❤❤', 'The fact that Dua was able to write this song after the scene was filmed and was able to match the music to the choreography is so impressive', 'Is there a benefit to recording a whole orchestra instead of using synthetic instruments?', 'The best ! Mark Ronson !❤', '❤️❤️❤️❄️☀️', 'Mr Ronson, I shoulda known!!!', 'This is so cool.', '❤', 'Ferry goed!']"
14,D1xkRWf6An8,"['Barbi', 'This is my most streamable music of this year.', 'Dua please check my community post tagging you ILYSM ❤❤', 'Did anyone watch the Barbie movie,.\nAnd realize dua lipa was the mermaid?\n👇🏼', 'Pendant enfermement 😢😮😡', 'Вау❤', 'It i my favorite song 😊❤', 'Wooo hoooooo!', '""Daaaaaance"" 😩❤❤', 'I love when Ken dances behind Barbie 😂😂😂😂😂']"
